,date,time,venue,attendance,duration,time_of_day,winner,winning_name,winning_abbr,losing_name,losing_abbr,away_at_bats,away_runs,away_hits,away_rbi,away_earned_runs,away_bases_on_balls,away_strikeouts,away_plate_appearances,away_batting_average,away_on_base_percentage,away_slugging_percentage,away_on_base_plus,away_pitches,away_strikes,away_win_probability_for_offensive_player,away_average_leverage_index,away_win_probability_added,away_win_probability_subtracted,away_base_out_runs_added,away_putouts,away_assists,away_innings_pitched,away_home_runs,away_strikes_by_contact,away_strikes_swinging,away_strikes_looking,away_grounded_balls,away_fly_balls,away_line_drives,away_unknown_bat_type,away_game_score,away_inherited_runners,away_inherited_score,away_win_probability_by_pitcher,away_base_out_runs_saved,home_at_bats,home_runs,home_hits,home_rbi,home_earned_runs,home_bases_on_balls,home_strikeouts,home_plate_appearances,home_batting_average,home_on_base_percentage,home_slugging_percentage,home_on_base_plus,home_pitches,home_strikes,home_win_probability_for_offensive_player,home_average_leverage_index,home_win_probability_added,home_win_probability_subtracted,home_base_out_runs_added,home_putouts,home_assists,home_innings_pitched,home_home_runs,home_strikes_by_contact,home_strikes_swinging,home_strikes_looking,home_grounded_balls,home_fly_balls,home_line_drives,home_unknown_bat_type,home_game_score,home_inherited_runners,home_inherited_score,home_win_probability_by_pitcher,home_base_out_runs_saved
LAN/LAN196205150,"Tuesday, May 15, 1962",,Dodger Stadium,18675,3:06,Night,Home,Los Angeles Dodgers,LAD,Houston Colt .45s,HOU,39,7,11,6,6.0,6,6,45,0.282,0.378,0.333,0.711,,,0.372,1.16,0.91,-0.539,2.8,24,13,8.0,0,,,,,,,,34,4,4,-0.873,-6.2,37,10,12,10,9.0,4,5,42,0.324,0.405,0.432,0.837,,,0.872,0.94,1.446,-0.574,6.2,27,10,9.0,0,,,,,,,,32,1,0,-0.372,-2.8
LAN/LAN196205160,"Wednesday, May 16, 1962",,Dodger Stadium,16075,2:57,Night,Home,Los Angeles Dodgers,LAD,Houston Colt .45s,HOU,36,2,11,1,1.0,3,4,40,0.306,0.359,0.361,0.72,,,-0.214,0.74,0.675,-0.889,-2.2,24,5,8.0,0,,,,,,,,46,0,0,-0.287,-1.2,29,5,6,3,4.5,6,8,37,0.207,0.343,0.207,0.55,,,0.286,1.13,0.614,-0.329,1.2,27,9,9.0,0,,,,,,,,55,2,0,0.213,2.2
LAN/LAN196205170,"Thursday, May 17, 1962",,Dodger Stadium,17639,3:01,Night,Home,Los Angeles Dodgers,LAD,Houston Colt .45s,HOU,40,4,11,4,3.6,1,6,43,0.275,0.31,0.375,0.685,,,0.023,1.5,0.747,-0.725,-0.7,28,8,9.1,0,,,,,,,,63,1,1,-0.523,-1.8,36,5,10,5,4.82,3,5,40,0.278,0.333,0.306,0.639,,,0.522,0.85,1.287,-0.765,1.8,30,12,10.0,1,,,,,,,,43,0,0,-0.023,0.7
SFN/SFN196205180,"Friday, May 18, 1962",,Candlestick Park,18544,2:25,Night,Away,Houston Colt .45s,HOU,San Francisco Giants,SFG,32,3,5,3,1.8,4,6,38,0.156,0.243,0.25,0.493,,,0.123,1.54,0.839,-0.715,-2.0,30,13,10.0,1,,,,,,,,79,,,0.376,3.0,33,2,4,2,1.8,5,8,38,0.121,0.237,0.212,0.449,,,-0.374,1.43,0.869,-1.247,-3.0,30,17,10.0,1,,,,,,,,74,,,-0.124,2.0
SFN/SFN196205190,"Saturday, May 19, 1962",,Candlestick Park,16701,2:41,Day,Home,San Francisco Giants,SFG,Houston Colt .45s,HOU,38,2,9,2,2.0,2,6,40,0.237,0.275,0.316,0.591,,,-0.283,0.54,0.258,-0.54,-2.5,24,14,8.0,3,,,,,,,,31,2,2,-0.218,-6.0,36,10,14,9,11.25,3,4,41,0.389,0.45,0.667,1.117,,,0.22,0.68,0.557,-0.337,6.0,27,8,9.0,0,,,,,,,,59,0,0,0.281,2.5
SFN/SFN196205201,"Sunday, May 20, 1962",,Candlestick Park,,2:35,Day,Away,Houston Colt .45s,HOU,San Francisco Giants,SFG,37,6,11,6,5.0,5,2,43,0.297,0.381,0.297,0.678,,,0.314,1.3,0.701,-0.387,1.5,27,13,9.0,1,,,,,,,,54,2,1,0.187,-0.5,29,5,6,5,3.0,6,6,38,0.207,0.324,0.345,0.669,,,-0.186,0.78,0.698,-0.884,0.5,27,11,9.0,0,,,,,,,,31,0,0,-0.313,-1.5
SFN/SFN196205202,"Sunday, May 20, 1962",,Candlestick Park,40932,2:06,Day,Home,San Francisco Giants,SFG,Houston Colt .45s,HOU,34,4,7,4,4.0,1,3,35,0.206,0.229,0.353,0.582,,,-0.225,0.57,0.349,-0.574,-0.5,24,8,8.0,0,,,,,,,,25,2,2,-0.275,-3.0,33,7,10,7,7.88,4,8,37,0.303,0.378,0.333,0.712,,,0.276,0.79,0.504,-0.227,3.0,27,10,9.0,1,,,,,,,,59,,,0.224,0.5
HOU/HOU196205210,"Monday, May 21, 1962",,Colt Stadium,16317,2:40,Night,Home,Houston Colt .45s,HOU,New York Mets,NYM,33,2,7,2,1.0,4,7,38,0.212,0.289,0.242,0.532,,,-0.445,1.24,0.646,-1.092,-2.2,24,16,8.0,0,,,,,,,,42,1,0,-0.053,0.7,28,3,9,3,3.38,4,0,34,0.321,0.394,0.464,0.858,,,0.054,1.79,0.863,-0.81,-0.7,27,6,9.0,0,,,,,,,,70,,,0.447,2.2
HOU/HOU196205220,"Tuesday, May 22, 1962",,Colt Stadium,11980,2:00,Night,Home,Houston Colt .45s,HOU,New York Mets,NYM,35,2,10,2,2.0,2,6,38,0.286,0.316,0.343,0.659,,,-0.459,1.16,0.656,-1.113,-2.2,,8,8.0,1,,,,,,,,60,,,-0.041,0.7,30,3,7,3,3.38,2,6,32,0.233,0.281,0.4,0.681,,,0.04,1.63,0.712,-0.672,-0.7,27,5,9.0,0,,,,,,,,63,,,0.459,2.2
HOU/HOU196205230,"Wednesday, May 23, 1962",,Colt Stadium,9266,2:21,Night,Home,Houston Colt .45s,HOU,Cincinnati Reds,CIN,34,0,5,0,0.0,2,6,36,0.147,0.194,0.265,0.459,,,-0.629,0.72,0.289,-0.918,-4.2,24,10,8.0,0,,,,,,,,60,,,0.131,1.7,29,2,8,2,2.25,1,3,30,0.276,0.3,0.379,0.679,,,-0.131,1.19,0.309,-0.44,-1.7,27,13,9.0,0,,,,,,,,81,,,0.631,4.2
